Delta_C3,Theta_C3,Alpha_C3,Beta_C3,Gamma_C3,Delta_C4,Theta_C4,Alpha_C4,Beta_C4,Gamma_C4,Delta_Cz,Theta_Cz,Alpha_Cz,Beta_Cz,Gamma_Cz,condition,label
7.472286124467695e-12,5.699252644187592e-12,5.88299733328949e-12,2.507900743348722e-12,5.534266351043352e-13,7.799117423190457e-12,5.020984633966225e-12,5.423693443986573e-12,2.9114074980705626e-12,6.806558714455844e-13,1.255753616607603e-11,1.1337511300037662e-11,1.0199355105782775e-11,9.347038838414294e-12,1.6570591482880024e-12,left,0
1.7825695890827496e-11,6.204403104480347e-12,3.799895107865563e-12,2.0553855171763396e-12,5.058680049951364e-13,1.802308357062812e-11,5.660053718129746e-12,4.044358034761487e-12,2.4765665504374104e-12,5.452076054644797e-13,2.9201888625869917e-11,8.173613343951253e-12,6.961500198871001e-12,6.046181342551e-12,9.232104882459408e-13,left,0
1.5380935393688657e-11,7.25303160285832e-12,6.829085135779231e-12,2.3929081737715777e-12,5.068315241463754e-13,1.5160344828978794e-11,7.880858325361179e-12,6.840793057136719e-12,2.4726903751304743e-12,5.035807953628524e-13,2.4826398538180927e-11,1.4985556885583326e-11,1.0422023787044086e-11,9.10812324798792e-12,1.1920815443447352e-12,left,0
5.982050746549636e-12,7.287617639301727e-12,5.928193317316044e-12,2.2749535111030443e-12,5.567201814220501e-13,7.116673415491511e-12,6.923766375952631e-12,3.598888314509366e-12,2.8314987735501975e-12,5.875767759802843e-13,1.0897736621781452e-11,1.2485963274849135e-11,8.837618099321835e-12,6.79467921227993e-12,1.117239915376025e-12,left,0
9.801457682344541e-12,6.824852371070186e-12,9.462471142337778e-12,2.205165887482743e-12,6.533297784005696e-13,1.1411417461855325e-11,7.974241151107364e-12,7.926334939054552e-12,2.7668626004289336e-12,5.987663894447986e-13,2.0009540476868848e-11,1.3180363468428556e-11,1.9715915879389886e-11,6.5005592635303386e-12,1.3961978173868708e-12,left,0
1.1736243558053108e-11,7.533495319354762e-12,5.105338156715515e-12,2.2525483724886756e-12,5.240528542180563e-13,1.6318585285644545e-11,7.504628277961367e-12,4.2156742544849636e-12,2.8622571428321693e-12,5.868405500462036e-13,1.87733965610736e-11,1.1487858490343201e-11,7.46136613326044e-12,6.7219284960241674e-12,1.066753999598801e-12,right,1
2.2233315476057236e-11,6.830998880388787e-12,6.976035272457314e-12,2.270400794622852e-12,8.832511605064115e-13,2.090484123971833e-11,7.035169766401801e-12,4.710176703409468e-12,2.679525711111197e-12,7.606028898891837e-13,3.308402921920032e-11,1.1752625808565211e-11,8.35134743503162e-12,6.614704933827051e-12,1.2101321952512713e-12,right,1
1.1330283335697924e-11,7.678796726008232e-12,8.17549421252268e-12,2.5452914529706386e-12,6.713158685554831e-13,1.0256627889134917e-11,8.73654966018538e-12,6.948711348108192e-12,2.780183034399768e-12,6.038034205332594e-13,1.5276254688924644e-11,1.3949437288578894e-11,1.2568421740376109e-11,7.983124392260325e-12,1.1822917913801974e-12,right,1
1.0403524283786077e-11,5.875514976777502e-12,5.008560368473157e-12,1.978440785721471e-12,6.661467510735592e-13,1.262543964203996e-11,7.902994155032106e-12,5.007789595912255e-12,2.008343239293544e-12,7.212157659562511e-13,1.978905524841091e-11,1.3141020451899323e-11,8.531185533732175e-12,4.3668563479831856e-12,1.257197609779503e-12,right,1
1.4667167366513964e-11,6.518966026550146e-12,5.3017239505803145e-12,2.7664651913215054e-12,6.291402048717091e-13,1.6641793952292438e-11,6.025745866766815e-12,3.7184579434252215e-12,3.073084051325031e-12,5.972546454649873e-13,2.4843020787194207e-11,1.0143776477824322e-11,8.344293303922848e-12,7.905038594960113e-12,1.3091781984945812e-12,right,1
1.637913457495681e-11,7.454658126143426e-12,5.621751229342108e-12,2.074467412591483e-12,4.784814983083442e-13,1.9279006988996658e-11,9.708713826756156e-12,6.2072427713678904e-12,2.710623816789024e-12,4.554658449203405e-13,2.7796988031884766e-11,1.5124627995149304e-11,8.990498211513911e-12,4.809473399160649e-12,1.1338912191792413e-12,right,1
1.3573618591908931e-11,6.213103420583313e-12,4.110250064177954e-12,1.9187155402930024e-12,7.104564703701016e-13,1.7209717730317562e-11,7.083283495909974e-12,3.5490341110567752e-12,2.2675152904416765e-12,7.235295529389074e-13,2.7188734207028943e-11,1.07687274473276e-11,7.164994153344175e-12,5.279751991998488e-12,1.5534615039165209e-12,right,1
1.4657388626108275e-11,5.3207829955434784e-12,6.725584255103141e-12,2.4461956890832214e-12,5.797818958526804e-13,9.114305012380514e-12,6.265784394427086e-12,6.7524695593830634e-12,2.906848967847199e-12,5.999660093729648e-13,1.4457947418019419e-11,9.590964506961858e-12,1.1904635743496956e-11,6.6672087343195514e-12,1.3697222778491568e-12,right,1
7.971082734153222e-12,4.248113982423872e-12,7.768494789767876e-12,2.0448606097402526e-12,4.93241827530764e-13,7.048696284678516e-12,5.5743060793130474e-12,7.070357028418443e-12,2.438233402163958e-12,4.774321134139814e-13,1.1828830070176508e-11,8.340429863959227e-12,1.4415217929831008e-11,5.530771257368959e-12,1.0333989382355177e-12,right,1
1.3236313902466607e-11,4.175612866761516e-12,7.413025339759307e-12,2.1969028510590134e-12,5.898142011577069e-13,1.2914895411666792e-11,5.214459313805773e-12,6.657669981230301e-12,3.459768766284457e-12,7.111443233739513e-13,2.1501890260374212e-11,8.590365980988251e-12,1.270270021178818e-11,6.316777560725038e-12,1.2244119600940472e-12,right,1
